Time(s),TotalLungVolume(L),TidalVolume(mL),OxygenSaturation,CardiacOutput(L/min),HeartRate(1/min),HeartStrokeVolume(mL),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),RespirationRate(1/min),EndTidalCarbonDioxideFraction,ArterialBloodPH,Aorta-Oxygen-PartialPressure(mmHg),Aorta-CarbonDioxide-PartialPressure(mmHg)
154.10,2.725,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.12,2.724,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.14,2.724,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.16,2.723,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.18,2.722,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.20,2.721,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.22,2.720,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.24,2.719,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.26,2.719,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.28,2.718,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.30,2.717,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.32,2.716,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.34,2.715,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.36,2.714,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.38,2.713,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.40,2.712,102.928,0.951,4.95,93.86,52.7,83.5,96.0,22.73,0.0355,7.36,73,46,0
154.42,2.711,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.44,2.710,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.46,2.709,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.48,2.708,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.50,2.707,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.52,2.706,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.54,2.705,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.56,2.704,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.58,2.703,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.60,2.702,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.62,2.701,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.64,2.700,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.66,2.699,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.68,2.698,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.70,2.697,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.72,2.696,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.74,2.695,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.76,2.694,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.78,2.693,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.80,2.692,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.82,2.691,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.84,2.690,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.86,2.689,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.88,2.688,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.90,2.687,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.92,2.686,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.94,2.685,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.96,2.684,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
154.98,2.683,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
155.00,2.682,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
155.02,2.681,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
155.04,2.680,102.928,0.951,4.91,94.34,52.1,83.7,96.2,22.73,0.0355,7.36,73,46,0
155.06,2.679,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.08,2.678,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.10,2.677,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.12,2.677,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.14,2.676,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.16,2.675,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.18,2.674,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.20,2.673,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.22,2.672,102.928,0.951,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.24,2.671,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.26,2.670,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.28,2.669,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.30,2.668,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.32,2.667,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.34,2.666,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.36,2.665,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.38,2.664,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.40,2.663,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.42,2.662,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.44,2.661,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.46,2.660,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.48,2.659,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.50,2.659,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.52,2.658,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.54,2.657,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.56,2.656,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.58,2.655,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.60,2.654,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.62,2.653,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.64,2.652,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.66,2.651,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.68,2.650,102.928,0.950,4.90,94.80,51.7,83.6,96.0,22.73,0.0355,7.36,73,46,0
155.70,2.649,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,73,46,0
155.72,2.648,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,73,46,0
155.74,2.648,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.76,2.647,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.78,2.646,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.80,2.645,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.82,2.644,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.84,2.643,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.86,2.642,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.88,2.641,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.90,2.640,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.92,2.639,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.94,2.639,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.96,2.638,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
155.98,2.637,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.00,2.636,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.02,2.635,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.04,2.634,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.06,2.633,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.08,2.632,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.10,2.632,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.12,2.631,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.14,2.630,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.16,2.629,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.18,2.628,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.20,2.627,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.22,2.626,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.24,2.626,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.26,2.625,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.28,2.625,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.30,2.624,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.32,2.624,102.928,0.950,4.89,95.06,51.5,83.4,95.8,22.73,0.0355,7.36,72,46,0
156.34,2.624,102.928,0.950,4.89,95.32,51.3,83.2,95.6,22.73,0.0355,7.36,72,46,0
156.36,2.624,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.38,2.638,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.40,2.658,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.42,2.683,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.44,2.712,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.46,2.733,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.48,2.743,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.50,2.744,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.52,2.738,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.54,2.738,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.56,2.737,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.58,2.737,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.60,2.737,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.62,2.736,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.64,2.736,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.66,2.735,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.68,2.734,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.70,2.734,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.72,2.733,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.74,2.732,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.76,2.732,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.78,2.731,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.80,2.730,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.82,2.729,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.84,2.728,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.86,2.727,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.88,2.726,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.90,2.725,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.92,2.724,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.94,2.724,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.96,2.723,103.984,0.950,4.89,95.32,51.3,83.2,95.6,22.90,0.0355,7.36,72,46,0
156.98,2.722,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.00,2.721,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.02,2.720,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.04,2.719,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.06,2.718,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.08,2.717,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.10,2.716,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.12,2.715,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.14,2.714,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.16,2.713,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.18,2.712,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.20,2.711,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.22,2.710,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.24,2.709,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.26,2.708,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.28,2.707,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.30,2.706,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.32,2.705,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.34,2.704,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.36,2.703,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.38,2.702,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.40,2.701,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.42,2.700,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.44,2.699,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.46,2.698,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.48,2.697,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.50,2.696,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.52,2.695,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.54,2.694,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.56,2.693,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.58,2.692,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.60,2.691,103.984,0.950,4.89,95.64,51.2,83.0,95.4,22.90,0.0355,7.36,72,46,0
157.62,2.690,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.64,2.689,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.66,2.688,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.68,2.687,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.70,2.686,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.72,2.685,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.74,2.684,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.76,2.683,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.78,2.682,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.80,2.681,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.82,2.680,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.84,2.679,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.86,2.678,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.88,2.677,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.90,2.676,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.92,2.675,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.94,2.674,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.96,2.673,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
157.98,2.672,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.00,2.671,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.02,2.670,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.04,2.669,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.06,2.668,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.08,2.667,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.10,2.666,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.12,2.665,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.14,2.664,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.16,2.663,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.18,2.662,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.20,2.662,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.22,2.661,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.24,2.660,103.984,0.950,4.89,95.97,51.0,82.8,95.2,22.90,0.0355,7.36,72,46,0
158.26,2.659,103.984,0.950,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.28,2.658,103.984,0.950,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.30,2.657,103.984,0.950,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.32,2.656,103.984,0.950,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.34,2.655,103.984,0.950,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.36,2.654,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.38,2.653,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.40,2.652,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.42,2.651,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.44,2.650,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.46,2.650,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.48,2.649,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.50,2.648,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.52,2.647,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.54,2.646,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.56,2.645,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.58,2.644,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.60,2.643,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.62,2.642,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.64,2.641,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.66,2.641,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.68,2.640,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.70,2.639,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.72,2.638,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.74,2.637,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.76,2.636,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.78,2.635,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.80,2.634,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.82,2.634,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.84,2.633,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.86,2.632,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.88,2.632,103.984,0.949,4.90,96.31,50.9,82.7,95.0,22.90,0.0355,7.36,72,46,0
158.90,2.631,103.984,0.949,4.92,96.66,50.9,82.5,94.9,22.90,0.0355,7.36,72,46,0
158.92,2.631,103.984,0.949,4.92,96.66,50.9,82.5,94.9,22.90,0.0355,7.36,72,46,0
158.94,2.631,103.984,0.949,4.92,96.66,50.9,82.5,94.9,22.90,0.0355,7.36,72,46,0
158.96,2.631,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
158.98,2.646,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
159.00,2.666,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
159.02,2.691,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
159.04,2.721,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
159.06,2.741,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
159.08,2.751,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
159.10,2.752,104.798,0.949,4.92,96.66,50.9,82.5,94.9,23.08,0.0356,7.36,72,46,0
